month,Pop,PfPR U5,year,Run_Number,Habitat_Multiplier,admin_name
9,993.1333333333,0.0,2017,0,0.025118864315095794,DD
10,984.5,0.0,2017,0,0.025118864315095794,DD
11,983.5333333333,0.0,2017,0,0.025118864315095794,DD
12,981.4,0.0,2017,0,0.025118864315095794,DD
1,1021.9,0.006523795544248,2010,0,0.1,DD
2,1025.8,0.006531487619419,2010,0,0.1,DD
3,1032.6,0.004842146039125,2010,0,0.1,DD
4,1029.866666667,0.003916364577939,2010,0,0.1,DD
5,1022.933333333,0.002443952033368,2010,0,0.1,DD
6,1020.7,0.002090068906959,2010,0,0.1,DD
7,1026.1,0.00425559562096,2010,0,0.1,DD
8,1029.5,0.006508013598834,2010,0,0.1,DD
9,1034.433333333,0.007347017690845,2010,0,0.1,DD
10,1036.633333333,0.006913405575742,2010,0,0.1,DD
11,1038.466666667,0.008955511330808,2010,0,0.1,DD
12,1036.033333333,0.006048711431421,2010,0,0.1,DD
1,1036.133333333,0.00234847509973,2011,0,0.1,DD
2,1038.166666667,0.0007705891796436,2011,0,0.1,DD
3,1038.4,0.0005136106831022,2011,0,0.1,DD
4,1039.3,0.002277173738734,2011,0,0.1,DD
5,1036.1,0.003731943506097,2011,0,0.1,DD
6,1034.466666667,0.001868917960946,2011,0,0.1,DD
7,1036.333333333,0.004792537793503,2011,0,0.1,DD
8,1036.433333333,0.005917730678931,2011,0,0.1,DD
9,1036.233333333,0.006369221861228,2011,0,0.1,DD
10,1042.533333333,0.006778360404144,2011,0,0.1,DD
11,1044.866666667,0.007050341351369,2011,0,0.1,DD
12,1053.0,0.006426084203862,2011,0,0.1,DD
1,1055.466666667,0.003979282465892,2012,0,0.1,DD
2,1055.733333333,0.003346804748674,2012,0,0.1,DD
3,1059.433333333,0.001478777963062,2012,0,0.1,DD
4,1062.066666667,0.0004080095411462,2012,0,0.1,DD
5,1057.366666667,0.0004413480029003,2012,0,0.1,DD
6,1052.133333333,0.0007286782410341,2012,0,0.1,DD
7,1055.433333333,0.0003158260430155,2012,0,0.1,DD
8,1062.466666667,0.000784338332183,2012,0,0.1,DD
9,1056.566666667,0.002239959617629,2012,0,0.1,DD
10,1055.233333333,0.003569510692738,2012,0,0.1,DD
11,1055.6,0.003757736516357,2012,0,0.1,DD
12,1061.433333333,0.002229689413686,2012,0,0.1,DD
1,1059.466666667,0.0006292474200856,2013,0,0.1,DD
2,1060.8,0.003707893413776,2013,0,0.1,DD
3,1053.233333333,0.002120454473526,2013,0,0.1,DD
4,1058.733333333,0.0008815565770417,2013,0,0.1,DD
5,1069.133333333,0.0005923801209703,2013,0,0.1,DD
6,1068.866666667,0.001060313104223,2013,0,0.1,DD
7,1062.6,0.001725327812284,2013,0,0.1,DD
8,1061.666666667,0.00276295133438,2013,0,0.1,DD
9,1055.666666667,0.003662772339754,2013,0,0.1,DD
10,1054.5,0.00458353089932,2013,0,0.1,DD
11,1054.466666667,0.004077890876905,2013,0,0.1,DD
12,1051.433333333,0.002789842437308,2013,0,0.1,DD
1,1045.533333333,0.002837467321303,2014,0,0.1,DD
2,1042.366666667,0.002398388283074,2014,0,0.1,DD
3,1042.7,0.00137463636073,2014,0,0.1,DD
4,1038.8,0.0001925298421255,2014,0,0.1,DD
5,1037.633333333,0.0007388608692859,2014,0,0.1,DD
6,1035.1,0.0008050751940231,2014,0,0.1,DD
7,1025.833333333,0.0002924451665313,2014,0,0.1,DD
8,1022.166666667,6.522093592043e-05,2014,0,0.1,DD
9,1021.133333333,3.264346804204e-05,2014,0,0.1,DD
10,1015.6,0.0,2014,0,0.1,DD
11,1013.033333333,0.0,2014,0,0.1,DD
12,1009.5,0.0,2014,0,0.1,DD
1,1013.033333333,0.0,2015,0,0.1,DD
2,1016.5,0.0,2015,0,0.1,DD
3,1007.8,0.0,2015,0,0.1,DD
4,1008.166666667,0.0,2015,0,0.1,DD
5,997.9666666667,0.0,2015,0,0.1,DD
6,994.8333333333,0.0,2015,0,0.1,DD
7,987.9666666667,0.0,2015,0,0.1,DD
8,985.7,0.0,2015,0,0.1,DD
9,988.9666666667,0.0,2015,0,0.1,DD
10,980.8666666667,0.0,2015,0,0.1,DD
11,977.2333333333,0.0,2015,0,0.1,DD
12,985.6333333333,0.0,2015,0,0.1,DD
1,984.1333333333,0.0,2016,0,0.1,DD
2,983.3666666667,0.0,2016,0,0.1,DD
3,982.3666666667,0.0,2016,0,0.1,DD
4,984.5333333333,0.0,2016,0,0.1,DD
5,986.1333333333,0.0,2016,0,0.1,DD
6,988.2666666667,0.0,2016,0,0.1,DD
7,984.8666666667,0.0,2016,0,0.1,DD
8,993.0666666667,0.0,2016,0,0.1,DD
9,991.7666666667,0.0,2016,0,0.1,DD
10,987.0,0.0,2016,0,0.1,DD
